?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_2001568>	"obsolete oocyte stage IV"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001710>	"opercle-interopercle joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the opercle and interopercle. Opercle-interopercle joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200015>	"inner digits of foot"^^<http://www.w3.org/2001/XMLSchema#string>	"The medial most digits of the pes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010819>	"gastrointestinal peritoneum"^^<http://www.w3.org/2001/XMLSchema#string>	"Peritoneum that surrounds the stomach and intestines."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/IAO_0100001>	"term replaced by"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001680>	"mesethmoid-vomer joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the mesethmoid and vomer. Mesethmoid-vomer joint is unpaired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000119>	"non-mineralized avascular GAG-rich matrix"^^<http://www.w3.org/2001/XMLSchema#string>	"Avascular GAG-rich matrix that is not mineralized."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010241>	"labial fold"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000655>	"obsolete dorsomedial optic tract"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005104>	"presumptive dorsal fin fold"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010458>	"suprarostral ala"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000685>	"superficial abductor"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000704>	"anterior intervertebral notch"^^<http://www.w3.org/2001/XMLSchema#string>	"Indentation on the posterior margin of the pedicel. When two vertebrae articulate, the anterior notch of one vertebra and the posterior notch of the other create a bilateral intervertebral space."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001086>	"muscle pioneer"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200106>	"muscle scar"@en	"An distinct region on a skeletal elementt that demarcates the attachment area of a muscle or tendon. Often associated with rugosity or tubercles."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000159>	"ossified ligament"^^<http://www.w3.org/2001/XMLSchema#string>	"Sesamoid that develops within a ligament, distal to an articulation or joint."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001968>	"outer mental barbel"^^<http://www.w3.org/2001/XMLSchema#string>	"Mental barbel that originates on the chin, in a posterolateral position relative to the inner mental barbel."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000855>	"somite 24"^^<http://www.w3.org/2001/XMLSchema#string>	"Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001585>	"caudal principal ray"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal fin lepidotrichium that is adjacent to a branched ray. Caudal principal rays may be segmented but unbranched and the main element forming the dorsal or ventral leading margin of the caudal fin or a ray that may be only segmented-and-branched and forms part of the middle-posterior region of the fin. A caudal principal ray is an unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000806>	"fast muscle cell somite 20"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000614>	"abductor profundus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000755>	"fast muscle cell somite 21"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010047>	"M. quadratus femoris"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates on the ventro-lateral border of the ischium and inserts on the ventro-medial surface of the femur at the base of caput femoris."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005170>	"extrahepatic duct"^^<http://www.w3.org/2001/XMLSchema#string>	"Bile duct that collects from the intrahepatic ducts and feeds into the common bile duct."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002241>	"Purkinje cell layer valvula cerebelli"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.obo/obo/UBERON_1500010>	"pelvic fin middle radial"@en	"Pelvic fin radial in the middle of the pelvic fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001517>	"ceratobranchial 2 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial cartilage that is bilaterally paired and articulates laterally with epibranchial 2 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010393>	"mesonephric late distal segment"^^<http://www.w3.org/2001/XMLSchema#string>	"The site of bicarbonate resorption in the adult kidney. It is equivalent to the convoluted distal segment of metanephric nephrons. [Xenbase]"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002284>	"body marking"^^<http://www.w3.org/2001/XMLSchema#string>	"Surface structure that is a visible mark on the body resulting from pigmentation."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001515>	"taenia marginalis posterior"^^<http://www.w3.org/2001/XMLSchema#string>	"Cartilage bar (bilaterally paired) that is first visible as an anterior extension of the auditory capsule. It grows anteriorly toward the middle of the orbit where it is connected to its mate on the other side by the epiphyseal bar."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000263>	"lamina precerebralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Posterior face of septum nasi."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000753>	"pars glenoidalis of scapula"^^<http://www.w3.org/2001/XMLSchema#string>	"Concave structure (posteromedial head) that forms the posterior head of the ventral margin of the scapula. The pars glenoidalis articulates with the humerus, and comprises the dorsal portion of the glenoid fossa."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005231>	"obsolete bifurcate interneuron"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001224>	"basibranchial 2 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Basibranchial bone that is ventral, median, and associated with branchial arch 2 (pharyngeal arch 4). Typically develops in the anterior copula cartilage."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001520>	"ceratobranchial 1 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial cartilage that is bilaterally paired and articulates laterally with epibranchial 1 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001987>	"centrum 5"^^<http://www.w3.org/2001/XMLSchema#string>	"Centrum that is part of vertebra 5."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000086>	"secondary cartilage tissue"^^<http://www.w3.org/2001/XMLSchema#string>	"Cartilage tissue that is part of the exoskeleton, deposited adjacent to bone after bone formation."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000453>	"posterolateral vomerine process"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010290>	"obsolete germ line cell"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/uberon/phenoscape-anatomy#InChIKey>	"InChIKey"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010217>	"carotid"^^<http://www.w3.org/2001/XMLSchema#string>	"Either of two arteries which carry blood to the head."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000907>	"eminentia arcuata"^^<http://www.w3.org/2001/XMLSchema#string>	"Small crest on the extensor surface of the proximal head of the tibiofibula (tibial side)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010310>	"obsolete natural killer cell"^^<http://www.w3.org/2001/XMLSchema#string>	"A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010821>	"hyoquadrate process"^^<http://www.w3.org/2001/XMLSchema#string>	"A projection on the suboccular arch, ventral to the muscular process, that serves as the articulation point for the lateral process of the ceratohyal of the hyobranchial skeleton."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005119>	"barbel primordium"^^<http://www.w3.org/2001/XMLSchema#string>	"A surface structure that will eventually grow to form a barbel. The primordium is rich in taste buds. The final location for taste buds present in the primordium is the distal tip of the mature barbel."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000862>	"pubo-ischium"^^<http://www.w3.org/2001/XMLSchema#string>	"Composite element formed by the fusion of the ischium and pubis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000984>	"superior reticular formation tegmentum"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000136>	"otic lateral line neuromast"^^<http://www.w3.org/2001/XMLSchema#string>	"Neuromast that is part of the otic lateral line. Kimmel et al, 1995. (Also see Anatomical Atlas entry for lateral line by T. Whitfield.)"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001906>	"epibranchial 2 element"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000881>	"fast muscle cell somite 25"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000089>	"cavum principale"^^<http://www.w3.org/2001/XMLSchema#string>	"The largest part of the nasal cavity, containing the olfactory epithelium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001845>	"dorsal hypohyal-ventral hypohyal joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the dorsal hypohyal and ventral hypohyal bones. Dorsal hypohyal-ventral hypohyal joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010061>	"anterior quadratocranial commissure"^^<http://www.w3.org/2001/XMLSchema#string>	"Cartilage that bridges palatoquadrate to ethmoid region."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2007001>	"dorso-rostral cluster"^^<http://www.w3.org/2001/XMLSchema#string>	"Early-forming telencephalic neural cluster. Neurons of the dorso-rostral cluster (drc) extend axons to form the supra-optic tract (SOT) and the anterior commissure (AC). Ross et al., 1992."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000601>	"pretectal periventricular nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3011040>	"first pancreatic bud"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000443>	"plectral apparatus"^^<http://www.w3.org/2001/XMLSchema#string>	"Complex sound-conducting anatomical structure."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000580>	"stylus of pars media plectri"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001095>	"immature macula"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010625>	"embryonic hypochord"^^<http://www.w3.org/2001/XMLSchema#string>	"A transient rod-like structure ventral to the notochord in salamander embryos. Derived from endoderm."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200034>	"cnemial crest"@en	"Longitudnal bony ridge on tibia, attachment site of the major extensor muscle of the hind limb."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002193>	"dorsolateral septum"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of tissue that grows in from the dorsolateral wall of the otic vesicle, forming a dorsolateral partition between the developing anterior and posterior semicircular canals."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200101>	"m.scapulotriceps"@en	"Muscle that represents one branch of the larger triceps brachii, origination site near the glenoid fossa on the scapula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001243>	"epibranchial 1 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Epibranchial bone that is bilaterally paired and articulates laterally with ceratobranchial 1 cartilage or bone and medially with pharyngobranchial cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001725>	"caudal principal ray 13"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal principal ray that is ventrally adjacent to caudal principal ray 12."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.obo/obo/UBERON_4100008>	"pedal claws"@en	"Claws on the pes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005228>	"segmented lepidotrichium"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001940>	"vertebra 4-vertebra 5 joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint between the centra, and sometimes the neural arches or parapophyses of vertebra 4 and vertebra 5."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000666>	"filamental artery"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010523>	"M. plantaris longus"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates by two heads, one from the dorso-distal border of the aponeurosis covering the knee and the other from two tendinous branches along the medial border of the knee joint. Inserts by a thick, broad tendon to form the aponeurosis plantaris."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001969>	"inner mental barbel"^^<http://www.w3.org/2001/XMLSchema#string>	"Mental barbel that originates on the chin, in an anteromedial position relative to the outer mental barbel. The inner mental barbel is nearer to the mandibular symphysis than is the outer mental barbel."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000110>	"crista contacta"^^<http://www.w3.org/2001/XMLSchema#string>	"Thin, horizontal ridge that extends medially from the corpus of the septomaxilla; it lays on the lamina inferior."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000678>	"hair cell anterior macula"^^<http://www.w3.org/2001/XMLSchema#string>	"Specialized neuronal receptor cells of the lateral line and acoustico-vestibular systems. Kimmel et al, 1995. (Also see Anatomical Atlas entry for hair cells by T. Whitfield.)"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001811>	"infraorbital sensory canal"^^<http://www.w3.org/2001/XMLSchema#string>	"Sensory canal lateral or ventral to and in close proximity to the otic and supraorbital sensory canals at their union. The infraorbital sensory canal is bilaterally paired and associated with the infraorbital bones."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000348>	"exoccipital posteroventral region"^^<http://www.w3.org/2001/XMLSchema#string>	"Endochondral bone which is the posterodorsal region of the basioccipital bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000074>	"palaeoniscoid scale"^^<http://www.w3.org/2001/XMLSchema#string>	"Multi-tissue structure composed of ganoine, dentine and bone; not known in extant taxa."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001008>	"muscle pioneer somite 27"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001799>	"recessus lateralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Intracranial space formed by confluence of supraorbital, infraorbital, preopercular and temporal sensory canals. See also Di Dario (2004)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005010>	"mid cerebral vein"^^<http://www.w3.org/2001/XMLSchema#string>	"The mesencephalic veins (MsV) enter the mid cerebral veins (MCeV) at the dorsal midline. THe MCeVs originate at the dorsal midline, proceede lateraly in a ventral direction to drain into the paired primordial midbrain channels (PHBC). ogai et al. 2001., Kimmel et al. 1993"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002070>	"internal anterior process of basipterygium"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that is bony and arises from anteromedial corner of basipterygium and projects anteriorly or anteromedially."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000593>	"superior reticular formation medial column"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001765>	"pectoral fin lepidotrichium 5"^^<http://www.w3.org/2001/XMLSchema#string>	"Pectoral fin lepidotrichium that, in a linear sequence, is the fifth most anterior pectoral ray that it is usually branched and segmented."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001715>	"caudal principal ray 3"^^<http://www.w3.org/2001/XMLSchema#string>	"Caudal principal ray that is ventrally adjacent to caudal principal ray 2."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000408>	"pars media plectri"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005248>	"trans-choroid plexus branch"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005084>	"metencephalic artery"^^<http://www.w3.org/2001/XMLSchema#string>	"These arteies branch dorsally from both sides of the posterior communicating artery looping up to join with the opposite MtA as well as with both middle cerebral veins at the dorsal midline of the head. Isogai et al. 2001."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000606>	"obsolete ventral oblique branchial muscle"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000920>	"muscle pioneer somite 26"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010724>	"levator quadrati"^^<http://www.w3.org/2001/XMLSchema#string>	"Responsible for the closing of the jaw."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010719>	"dilated medial process of metacarpal IV"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010070>	"M. ileo-fibularis"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates from the ventral border of the ala ossis ilei just posterior to the origin of M. glutaeus maximus. Insterts in the aponeurosis covering the knee joint."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001357>	"alar plate midbrain"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001526>	"hypobranchial 3 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Hypobranchial cartilage that is bilaterally paired and articulates laterally with ceratobranchial 3 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010334>	"vegetal yolk mass"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000221>	"internal levator"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002293>	"hypaxial basal fulcrum"^^<http://www.w3.org/2001/XMLSchema#string>	"Basal fulcrum that is positioned at the anteroventral margin of the caudal fin. Arratia, G. 2009. Identifying patterns of diversity of the actinopterygian fulcra. Acta Zoologica (Stockholm) 90 (Suppl. 1): 220-235."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001577>	"premaxilla ascending process"^^<http://www.w3.org/2001/XMLSchema#string>	"Process of the premaxilla that extends posteriorly and overlays the mesethmoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010794>	"oral ramule"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial branch of the ramus mandibularis externus. This ramule innervates the oral and angular lines of neuromasts."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000195>	"foramen perilymphaticus inferius"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001582>	"non-Weberian precaudal vertebra"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010101>	"musculus rectus inferior"^^<http://www.w3.org/2001/XMLSchema#string>	"Cranial nerve III innervated; ventral in the rectus group."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001125>	"organizer inducing center"^^<http://www.w3.org/2001/XMLSchema#string>	"The dorsal marginal region of the YSL where maternal dorsal determinants localize. Participates in positioning the shield. Ho et al, 1999."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001145>	"tooth 3V"^^<http://www.w3.org/2001/XMLSchema#string>	"Ceratobranchial 5 tooth which is posterior to tooth 2V and anterior to tooth 4V in the ventral tooth row."^^<http://www.w3.org/2001/XMLSchema#string>
